"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"153",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","learn_2t_abroad",1,NA
"154",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","multilingualism_asset",1,"directly_affected_questions"
"155",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","schools_teach",1,"directly_affected_questions"
"156",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","connect_with_people",1,"directly_affected_questions"
"157",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","future_career",2,"directly_affected_questions"
"158",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","effort",1,"directly_affected_questions"
"159",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","become_bilingual.1",1,NA
"160",5,1,"KR",2,"","KR",37,2,0,1,"UW",1,"Japanese","family_languages",1,NA
"161",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","fun_studying_languages",1,"semi_affected_questions"
"162",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","boring_spanish_class",5,"semi_affected_questions"
"163",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","interesting_spanish_cultures",3,"semi_affected_questions"
"164",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","interesting_studying_languages",4,"semi_affected_questions"
"165",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","difficult_classroom_learning",5,"least_affected_questions"
"166",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","valuable",5,"most_interested_qs"
"167",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","no_accent",4,"most_interested_qs"
"168",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","important_spanish",5,"most_interested_qs"
"169",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","beautiful",5,"semi_affected_questions"
"170",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","codeswitch_rude",5,"most_interested_qs"
"171",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","smarter_two_languages",5,"semi_affected_questions"
"172",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","started_younger",5,"semi_affected_questions"
"173",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","become_bilingual",5,"directly_affected_questions"
"174",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","admire_multilinguals",4,"semi_affected_questions"
"175",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","like_langauges",4,"semi_affected_questions"
"176",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","interest_languages",4,"semi_affected_questions"
"177",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","like_spanish",4,"semi_affected_questions"
"178",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","like_hearing_spanish",3,"semi_affected_questions"
"179",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","communicating_spanish_speakers",4,"semi_affected_questions"
"180",6,1,"",1,"","",27,1,2,1,"NIU",1,"FR","excited_spanish_class",5,"least_affected_questions"
